date,total_cases,population
2020-11-07,15707,1441553
2021-01-02,21417,1441553
2020-10-08,13110,1441553
2020-03-11,2,1441553
2022-04-07,235797,1441553
2021-02-21,27075,1441553
2021-03-14,28268,1441553
2020-11-13,16274,1441553
2021-03-28,29528,1441553
2020-05-24,636,1441553
2021-07-16,37455,1441553
2020-11-16,16471,1441553
2021-09-27,76006,1441553
2021-10-25,80807,1441553
2020-11-23,17142,1441553
2021-06-16,35831,1441553
2020-05-15,628,1441553
2021-06-11,35595,1441553
2021-02-16,26819,1441553
2021-08-24,55165,1441553
2020-09-13,10741,1441553
2020-11-29,17627,1441553
2020-05-12,626,1441553
2021-08-27,57509,1441553
2021-03-03,27549,1441553
2020-08-30,8443,1441553
2020-01-26,0,1441553
2021-06-22,36066,1441553
2022-03-04,231222,1441553
2021-11-30,84760,1441553
2021-11-17,83270,1441553
2021-01-07,22133,1441553
2021-06-10,35522,1441553
2022-02-13,226027,1441553
2020-06-27,881,1441553
2022-03-09,231844,1441553
2020-02-04,0,1441553
2022-06-13,283574,1441553
2021-04-22,31977,1441553
2021-02-18,26906,1441553
2020-02-06,0,1441553
2022-02-22,229083,1441553
2021-01-30,25708,1441553
2022-01-21,190551,1441553
2021-01-12,23048,1441553
2021-03-01,27499,1441553
2021-02-14,26772,1441553
2021-11-12,82836,1441553
2020-07-19,1368,1441553
2020-04-22,589,1441553
2021-09-11,68916,1441553
2022-06-04,275631,1441553
2020-11-20,16766,1441553
2021-01-11,22940,1441553
2021-10-08,78597,1441553
2021-05-02,32989,1441553
2021-09-20,73567,1441553
2021-11-03,81850,1441553
2021-09-24,74997,1441553
2020-11-28,17573,1441553
2021-01-20,24551,1441553
2020-08-29,8313,1441553
2021-01-29,25564,1441553
2021-06-14,35769,1441553
2020-12-14,19125,1441553
2021-02-27,27419,1441553
2020-03-16,11,1441553
2020-01-29,0,1441553
2020-09-28,12252,1441553
2022-06-24,296007,1441553
2022-06-12,283574,1441553
2020-04-15,535,1441553
2020-05-17,629,1441553
2022-01-23,197582,1441553
2021-10-14,79411,1441553
2020-10-05,12900,1441553
2021-11-07,82282,1441553
2022-05-09,246110,1441553
2021-10-24,80722,1441553
2022-07-07,305348,1441553
2020-09-14,10806,1441553
2020-04-01,311,1441553
2020-07-07,1075,1441553
2020-03-22,79,1441553
2021-07-03,36552,1441553
2022-07-20,313805,1441553
2021-02-17,26846,1441553
2020-03-12,2,1441553
2021-08-30,60808,1441553
2020-04-29,606,1441553
2020-02-23,0,1441553
2020-08-16,5188,1441553
2020-07-20,1392,1441553
2020-06-18,776,1441553
2021-11-22,84084,1441553
2020-06-01,645,1441553
2020-01-25,0,1441553
2020-06-05,661,1441553
2020-08-08,3468,1441553
2021-01-25,25209,1441553
2021-07-14,37174,1441553
2022-01-17,170259,1441553
2021-12-18,88717,1441553
2021-10-11,79093,1441553
2020-11-22,17039,1441553
2022-01-07,130605,1441553
2020-07-28,1840,1441553
2021-07-07,36714,1441553
2021-09-03,63722,1441553
2021-09-02,62860,1441553
2021-01-01,21258,1441553
2022-01-30,212768,1441553
2021-10-20,80139,1441553
2020-06-12,711,1441553
2021-12-08,85536,1441553
2021-05-07,33417,1441553
2021-11-19,83684,1441553
2020-09-09,10253,1441553
2021-09-04,64597,1441553
2021-04-13,31175,1441553
2022-05-13,251759,1441553
2021-04-27,32397,1441553
2022-01-12,149460,1441553
2020-11-11,16077,1441553
2021-03-31,29779,1441553
2020-06-15,727,1441553
2020-12-13,18938,1441553
2021-11-16,83137,1441553
2021-07-12,37081,1441553
2020-05-19,631,1441553
2020-10-18,13989,1441553
2022-06-28,296007,1441553
2022-06-07,275631,1441553
2022-01-20,186148,1441553
2021-12-10,85833,1441553
2021-03-02,27532,1441553
2020-06-13,716,1441553
2021-01-03,21539,1441553
2021-08-03,41815,1441553
2022-06-06,275631,1441553
2020-11-30,17708,1441553
2022-06-20,290652,1441553
2020-02-27,0,1441553
2020-10-22,14284,1441553
2021-06-07,35391,1441553
2020-11-18,16577,1441553
2020-12-15,19177,1441553
2021-01-19,24483,1441553
2021-04-12,31113,1441553
2020-08-21,6328,1441553
2020-07-15,1286,1441553
2020-03-06,1,1441553
2021-05-01,32882,1441553
2020-09-15,10904,1441553
2021-05-16,34180,1441553
2020-03-30,252,1441553
2020-04-13,513,1441553
2020-07-12,1217,1441553
2020-03-01,0,1441553
2022-02-17,227602,1441553
2021-04-29,32580,1441553
2021-12-02,84968,1441553
2020-05-08,619,1441553
2021-02-20,27011,1441553
2022-01-04,119830,1441553
2020-10-03,12768,1441553
2020-06-19,788,1441553
2021-08-16,49727,1441553
2020-10-14,13636,1441553
2020-02-28,0,1441553
2020-01-27,0,1441553
2022-01-25,202064,1441553
2021-11-13,82914,1441553
2022-03-13,231844,1441553
2020-08-28,8113,1441553
2020-07-09,1136,1441553
2020-06-11,694,1441553
2020-06-26,855,1441553
2022-06-27,296007,1441553
2021-01-18,23840,1441553
2022-04-29,241955,1441553
2021-12-04,85203,1441553
2020-09-30,12480,1441553
2020-09-29,12373,1441553
2020-10-01,12566,1441553
2020-09-07,9986,1441553
2022-03-12,231844,1441553
2021-06-25,36198,1441553
2021-12-12,86225,1441553
2021-03-27,29426,1441553
2020-10-09,13263,1441553
2022-05-10,246110,1441553
2021-05-20,34474,1441553
2022-06-01,275631,1441553
2022-07-11,305348,1441553
2021-01-21,24663,1441553
2021-04-15,31337,1441553
2021-07-27,39304,1441553
2022-03-02,230714,1441553
2021-05-12,33762,1441553
2020-03-09,2,1441553
2022-02-25,229771,1441553
2021-09-19,73148,1441553
2020-03-31,283,1441553
2021-12-17,88019,1441553
2020-06-08,669,1441553
2022-02-10,224138,1441553
2021-04-07,30552,1441553
2020-11-21,16919,1441553
2021-09-15,70991,1441553
2020-10-11,13435,1441553
2020-06-23,818,1441553
2021-09-12,69629,1441553
2020-09-21,11487,1441553
2022-05-06,246110,1441553
2021-02-26,27286,1441553
2020-10-29,14841,1441553
2021-09-28,76243,1441553
2022-01-08,134753,1441553
2020-02-24,0,1441553
2022-03-20,232845,1441553
2022-04-14,237097,1441553
2021-03-10,27944,1441553
2021-04-14,31242,1441553
2022-04-15,237097,1441553
2020-07-06,1053,1441553
2020-11-04,15379,1441553
2022-01-29,210085,1441553
2022-05-24,258781,1441553
2020-03-18,22,1441553
2020-06-09,673,1441553
2021-07-17,37577,1441553
2022-02-01,215303,1441553
2022-07-01,301246,1441553
2020-02-05,0,1441553
2020-12-12,18861,1441553
2021-12-05,85330,1441553
2021-01-05,21721,1441553
2020-02-29,0,1441553
2022-05-08,246110,1441553
2021-03-20,28763,1441553
2020-08-07,3317,1441553
2021-02-07,26398,1441553
2022-03-06,231222,1441553
2021-06-21,36048,1441553
2022-07-06,305348,1441553
2022-03-21,232845,1441553
2020-01-22,0,1441553
2022-04-05,234659,1441553
2022-04-13,237097,1441553
2022-02-15,226798,1441553
2020-04-02,350,1441553
2021-03-06,27774,1441553
2022-01-18,176439,1441553
2022-02-19,228425,1441553
2022-05-16,251759,1441553
2021-04-01,29888,1441553
2020-04-06,428,1441553
2020-03-05,1,1441553
2020-12-29,20747,1441553
2020-09-20,11423,1441553
2020-03-13,4,1441553
2021-03-24,29005,1441553
2020-05-14,626,1441553
2022-06-23,296007,1441553
2021-06-02,35111,1441553
2021-01-15,23448,1441553
2022-01-03,118330,1441553
2022-05-28,267602,1441553
